Model,PR-AUC,ROC-AUC,Precision,Recall,F1-Score,Brier Score,Optimal Threshold,Total Loss ($),Loss at 0.5 ($),Cost Savings ($),TP,FP,FN,TN
LightGBM,0.9033,0.9835,0.4627,0.9118,0.6139,0.0075,0.0595,56800.0,76800.0,20000.0,62,72,6,1860
XGBoost,0.8958,0.9839,0.6742,0.8824,0.7643,0.0084,0.1783,57800.0,77200.0,19400.0,60,29,8,1903
Decision Tree,0.8681,0.9793,0.5586,0.9118,0.6927,0.0129,0.1981,52200.0,119800.0,67600.0,62,49,6,1883
Random Forest,0.8589,0.9812,0.7059,0.8824,0.7843,0.0089,0.1486,57000.0,95800.0,38800.0,60,25,8,1907
Logistic Regression (Baseline),0.4496,0.9406,0.2522,0.8529,0.3893,0.0246,0.0595,96000.0,284200.0,188200.0,58,172,10,1760
